"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2897","Add multiple products to cart and checkout","Firefox","Sat Aug 31 19:35:53 GMT 2024","passed","Sat Aug 31 19:35:56 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","30015","Add multiple products to cart and remove one","Firefox","Sat Aug 31 19:35:56 GMT 2024","broken","Sat Aug 31 19:36:26 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","30029","Handle 500 error page","Chromium","Sat Aug 31 19:36:56 GMT 2024","broken","Sat Aug 31 19:37:26 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","30020","Subscribe to newsletter","Firefox","Sat Aug 31 19:36:28 GMT 2024","broken","Sat Aug 31 19:36:58 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","1875","Add product to cart and verify cart count","Chromium","Sat Aug 31 19:35:47 GMT 2024","passed","Sat Aug 31 19:35:49 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","3148","Login with valid credentials","Firefox","Sat Aug 31 19:35:43 GMT 2024","passed","Sat Aug 31 19:35:47 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","30023","Subscribe to newsletter","Chromium","Sat Aug 31 19:36:25 GMT 2024","broken","Sat Aug 31 19:36:55 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","1798","Login with invalid credentials","Firefox","Sat Aug 31 19:35:47 GMT 2024","passed","Sat Aug 31 19:35:49 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","1732","Login with invalid credentials","Chromium","Sat Aug 31 19:35:46 GMT 2024","passed","Sat Aug 31 19:35:47 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","2316","Add multiple products to cart and checkout","Chromium","Sat Aug 31 19:35:51 GMT 2024","passed","Sat Aug 31 19:35:54 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","2106","Login with valid credentials","Chromium","Sat Aug 31 19:35:43 GMT 2024","passed","Sat Aug 31 19:35:45 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","30021","Add multiple products to cart and remove one","Chromium","Sat Aug 31 19:35:54 GMT 2024","broken","Sat Aug 31 19:36:24 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","2084","Add product to cart and verify cart count","Firefox","Sat Aug 31 19:35:49 GMT 2024","passed","Sat Aug 31 19:35:51 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","2080","Complete checkout process with random data","Chromium","Sat Aug 31 19:35:49 GMT 2024","passed","Sat Aug 31 19:35:51 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","2304","Complete checkout process with random data","Firefox","Sat Aug 31 19:35:51 GMT 2024","passed","Sat Aug 31 19:35:53 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
"","30012","Handle 500 error page","Firefox","Sat Aug 31 19:36:59 GMT 2024","broken","Sat Aug 31 19:37:29 GMT 2024","E-commerce Shop Tests","tests/eCommerceTests.spec.ts","",""
